% of Cr,% of Hf,% of Mo,% of Nb,% of Ta,% of Ti,% of Re,% of V,% of W,% of Zr,% of Co,% of Ni,%Fe,% of Al,% of Mn,%Cu,%C,Entropy,bulk Modulus,shear Modulus,Hardness,Valence,Melting Point
20,0,20,0,0,20,0,20,20,0,0,0,0,0,0,0,0,13.38167,162,98.6,1121.305605,5.4,2306
0,0,20,20,0,20,0,20,20,0,0,0,0,0,0,0,0,13.38167,196,83.2,810.1846971,5.2,2420
20,0,20,0,20,0,20,0,20,0,0,0,0,0,0,0,0,13.38167,222,129.8,1370.716131,6,2831
20,0,20,20,0,0,0,20,20,0,0,0,0,0,0,0,0,13.38167,174,97.4,1023.943275,5.6,2467.8
20,0,20,20,20,0,0,0,20,0,0,0,0,0,0,0,0,13.38167,182,101.8,1063.814345,5.6,2689.2
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,0,0,13.38167,192,86,881.6329185,5,2592.6
20,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,0,13.38167,152,79,791.1808569,5.4,2386.8
20,0,20,20,0,0,20,0,20,0,0,0,0,0,0,0,0,13.38167,216,123.6,1286.868497,6,2723
0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,0,0,13.38167,204,84.8,801.8488286,5.2,2754.4
0,20,20,0,20,20,0,20,0,0,0,0,0,0,0,0,0,13.38167,162,63.2,605.8374139,4.8,2290.2
0,20,20,0,20,0,0,20,20,0,0,0,0,0,0,0,0,13.38167,202,86.6,842.9225179,5.2,2641
0,0,0,20,20,20,0,20,20,0,0,0,0,0,0,0,0,13.38167,190,71.8,639.5262973,5,2498.8
0,20,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,13.38167,156,57,522.7067308,4.8,2182.2
20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,13.38167,142,75.6,777.3558469,5.2,2451.4
0,20,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,13.38167,180,68.4,621.8495457,4.8,2563.4
20,0,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,13.38167,158,85.4,880.7417407,5.2,2498.2
20,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,0,13.38167,152,79,791.1808569,5.4,2386.8
0,20,0,0,20,20,0,20,20,0,0,0,0,0,0,0,0,13.38167,178,70.2,660.717913,4.8,2450
0,20,0,20,0,20,0,20,20,0,0,0,0,0,0,0,0,13.38167,172,64,579.2390864,4.8,2342
0,20,0,20,20,0,0,20,20,0,0,0,0,0,0,0,0,13.38167,190,69,594.2721531,5,2611.8
24.94,0,0,0,0,0,0,0,0,0,26.04,24.43,24.59,0,0,0,0,11.52373881,132.649,86.9416,133,4.2529,1598.5545
10.88,0,0,0,0,0,0,0,0,0,27.68,29.6,25.4,0,0,0,6.44,12.32163759,174.7488,107.3792,287,3.9636,1671.2496
21.89,0,0,0,0,0,0,0,0,0,23.75,24.24,23.62,0,0,0,6.5,12.77116744,155.266,111.8468,335,4.2016,1719.2224
21.22,0,0,0,0,0,0,0,0,0,24.09,24.84,23.61,0,0,0,6.24,12.7354757,155.7918,110.5363,253,4.1883,1710.8747
16.67,0,0,0,0,0,0,0,0,0,25.81,27.02,24.58,0,0,0,5.92,12.58874946,163.0464,107.5164,207,4.0876,1685.0978
22.85,0,0,0,0,0,0,0,0,0,23.86,24.06,23.83,0,0,0,5.4,12.64947088,150.635,107.8107,185,4.2187,1700.7349
